ProductID,Location,StockLevel,SupplierDelay(days),Warehouse,InventoryType
P0006,L07,167,3,W2,Returned
P0006,L08,101,10,W2,Repaired
P0006,L09,134,10,W1,Returned
P0006,L10,163,3,W2,Repaired
P0007,L01,57,10,W2,Repaired
P0007,L02,106,7,W3,Repaired
P0007,L03,43,2,W3,Returned
P0007,L04,158,3,W2,Returned
P0007,L05,64,3,W2,Fresh
P0007,L06,60,2,W1,Returned
P0007,L07,184,2,W3,Returned
P0007,L08,195,3,W3,Fresh
P0007,L09,135,5,W1,Fresh
P0007,L10,42,7,W3,Repaired
P0008,L01,17,3,W2,Fresh
P0008,L02,103,3,W1,Returned
P0008,L03,177,2,W1,Returned
P0008,L04,23,10,W2,Repaired
P0008,L05,75,7,W3,Returned
P0008,L06,170,2,W2,Repaired
P0008,L07,161,5,W1,Fresh
P0008,L08,142,7,W2,Fresh
P0008,L09,37,7,W1,Fresh
P0008,L10,195,10,W1,Repaired
P0009,L01,163,7,W3,Repaired
P0009,L02,53,7,W3,Returned
P0009,L03,191,10,W1,Fresh
P0009,L04,133,7,W2,Fresh
P0009,L05,122,3,W1,Returned
P0009,L06,41,7,W1,Returned
P0009,L07,22,5,W1,Fresh
P0009,L08,28,5,W3,Repaired
P0009,L09,10,10,W2,Returned
P0009,L10,18,3,W2,Returned
P0010,L01,31,2,W3,Returned
P0010,L02,116,3,W3,Fresh
P0010,L03,141,7,W3,Returned
P0010,L04,15,5,W1,Fresh
P0010,L05,101,10,W2,Repaired
P0010,L06,61,3,W2,Returned
P0010,L07,144,3,W1,Fresh
P0010,L08,43,10,W2,Repaired
P0010,L09,132,7,W1,Repaired
P0010,L10,16,2,W3,Fresh
P0011,L01,62,2,W2,Repaired
P0011,L02,21,2,W1,Fresh
P0011,L03,175,10,W1,Returned
P0011,L04,103,7,W2,Repaired
P0011,L05,14,2,W3,Returned
P0011,L06,139,3,W1,Fresh
P0011,L07,162,3,W3,Returned
P0011,L08,137,5,W3,Repaired
P0011,L09,181,10,W1,Returned
P0011,L10,23,7,W2,Repaired
P0012,L01,188,2,W1,Returned
P0012,L02,194,10,W1,Repaired
P0012,L03,126,5,W1,Returned
P0012,L04,42,5,W1,Returned
P0012,L05,153,5,W3,Repaired
P0012,L06,110,2,W2,Returned
P0012,L07,28,3,W1,Returned
P0012,L08,123,5,W1,Repaired
P0012,L09,84,2,W1,Returned
P0012,L10,185,7,W2,Fresh
P0013,L01,30,3,W2,Returned
P0013,L02,49,2,W2,Returned
P0013,L03,37,2,W3,Returned
P0013,L04,175,10,W2,Repaired
P0013,L05,40,10,W1,Fresh
P0013,L06,144,2,W1,Fresh
P0013,L07,150,3,W1,Fresh
P0013,L08,95,7,W3,Returned
P0013,L09,86,5,W3,Repaired
P0013,L10,117,2,W2,Returned
P0014,L01,144,5,W2,Fresh
P0014,L02,94,5,W2,Repaired
P0014,L03,90,3,W1,Repaired
P0014,L04,79,5,W3,Fresh
P0014,L05,135,3,W3,Fresh
P0014,L06,45,7,W1,Fresh
P0014,L07,118,10,W1,Repaired
P0014,L08,108,2,W3,Repaired
P0014,L09,78,3,W3,Fresh
P0014,L10,198,2,W3,Repaired
P0015,L01,50,5,W3,Repaired
P0015,L02,117,7,W2,Fresh
P0015,L03,46,2,W3,Repaired
P0015,L04,164,10,W3,Returned
P0015,L05,142,2,W2,Repaired
P0015,L06,18,7,W1,Returned
P0015,L07,66,7,W2,Repaired
P0015,L08,56,7,W3,Returned
P0015,L09,26,2,W2,Repaired
P0015,L10,195,2,W2,Fresh
P0016,L01,177,10,W3,Returned
P0016,L02,130,5,W3,Returned
P0016,L03,10,3,W3,Fresh
P0016,L04,14,5,W2,Repaired
P0016,L05,138,10,W1,Fresh
P0016,L06,198,5,W1,Returned
P0016,L07,57,7,W1,Returned
P0016,L08,137,3,W1,Repaired
P0016,L09,113,7,W2,Returned
P0016,L10,189,3,W1,Repaired
P0017,L01,83,2,W2,Repaired
P0017,L02,191,2,W2,Fresh
P0017,L03,102,7,W2,Repaired
P0017,L04,173,2,W2,Repaired
P0017,L05,26,7,W2,Returned
P0017,L06,27,3,W2,Returned
P0017,L07,40,10,W2,Repaired
P0017,L08,140,5,W1,Returned
P0017,L09,131,2,W1,Returned
P0017,L10,148,5,W2,Fresh
P0018,L01,43,7,W3,Fresh
P0018,L02,68,5,W2,Fresh
P0018,L03,133,3,W3,Fresh
P0018,L04,84,2,W2,Fresh
P0018,L05,158,10,W3,Returned
P0018,L06,58,10,W2,Fresh
P0018,L07,116,3,W2,Fresh
P0018,L08,33,7,W1,Fresh
P0018,L09,83,3,W1,Fresh
P0018,L10,58,5,W1,Repaired
P0019,L01,158,7,W2,Returned
P0019,L02,167,7,W3,Returned
P0019,L03,57,10,W1,Repaired
P0019,L04,70,3,W1,Returned
P0019,L05,23,5,W2,Repaired
P0019,L06,76,10,W3,Repaired
P0019,L07,110,2,W1,Fresh
P0019,L08,71,2,W2,Fresh
P0019,L09,93,10,W2,Returned
P0019,L10,44,10,W2,Returned
P0020,L01,76,5,W2,Fresh
P0020,L02,81,7,W2,Returned
P0020,L03,74,7,W3,Fresh
P0020,L04,43,7,W3,Fresh
P0020,L05,102,3,W3,Repaired
P0020,L06,139,3,W1,Finished Goods
P0020,L07,178,2,W1,Repaired
P0020,L08,192,3,W1,Returned
P0020,L09,33,7,W2,Returned
P0020,L10,97,7,W3,Repaired
P0021,L01,24,3,W2,Repaired
P0021,L02,72,3,W3,Returned
P0021,L03,33,5,W2,Repaired
P0021,L04,11,10,W1,Returned
P0021,L05,180,2,W2,Returned
P0021,L06,168,5,W2,Returned
P0021,L07,81,2,W2,Repaired
P0021,L08,176,3,W1,Repaired
P0021,L09,111,10,W2,Repaired
P0021,L10,198,2,W1,Repaired
P0022,L01,139,3,W1,Repaired
P0022,L02,18,2,W3,Returned
P0022,L03,181,10,W1,Fresh
P0022,L04,148,3,W1,Fresh
P0022,L05,24,5,W1,Fresh
P0022,L06,111,2,W2,Returned
P0022,L07,173,2,W3,Fresh
P0022,L08,111,2,W3,Returned
P0022,L09,155,5,W2,Returned
P0022,L10,33,10,W2,Repaired
P0023,L01,128,2,W2,Returned
P0023,L02,61,10,W3,Fresh
P0023,L03,56,2,W2,Fresh
P0023,L04,120,3,W3,Fresh
P0023,L05,17,2,W3,Returned
P0023,L06,50,3,W3,Returned
P0023,L07,31,7,W2,Fresh
P0023,L08,16,2,W1,Finished Goods
P0023,L09,71,7,W1,Repaired
P0023,L10,170,2,W3,Returned
P0024,L01,85,10,W3,Repaired
P0024,L02,33,10,W1,Fresh
P0024,L03,140,2,W2,Repaired
P0024,L04,102,10,W3,Fresh
P0024,L05,54,7,W3,Repaired
P0024,L06,186,10,W2,Fresh
P0024,L07,67,5,W2,Repaired
P0024,L08,100,7,W1,Fresh
P0024,L09,30,10,W3,Repaired
P0024,L10,193,7,W2,Repaired
P0025,L01,108,10,W1,Returned
P0025,L02,105,5,W3,Fresh
P0025,L03,151,3,W2,Fresh
P0025,L04,34,5,W1,Repaired
P0025,L05,177,7,W1,Repaired
P0025,L06,20,5,W1,Returned
P0025,L07,65,3,W1,Repaired
P0025,L08,75,3,W1,Repaired
P0025,L09,35,10,W1,Repaired
P0025,L10,99,7,W2,Repaired
P0026,L01,48,5,W2,Fresh
P0026,L02,158,5,W2,Repaired
P0026,L03,140,2,W1,Fresh
P0026,L04,182,7,W3,Returned
P0026,L05,75,2,W2,Fresh
P0026,L06,31,5,W3,Fresh
P0026,L07,24,2,W1,Repaired
P0026,L08,156,3,W2,Repaired
P0026,L09,192,10,W1,Fresh
P0026,L10,115,2,W2,Repaired
P0027,L01,77,3,W2,Fresh
P0027,L02,24,3,W1,Returned
P0027,L03,17,2,W2,Fresh
P0027,L04,29,5,W2,Fresh
P0027,L05,73,3,W2,Returned
P0027,L06,135,2,W2,Fresh
P0027,L07,127,7,W2,Fresh
P0027,L08,182,5,W2,Fresh
P0027,L09,62,2,W1,Returned
P0027,L10,106,10,W3,Returned
P0028,L01,189,5,W1,Repaired
P0028,L02,123,10,W1,Fresh
P0028,L03,48,7,W3,Repaired
P0028,L04,107,5,W1,Fresh
P0028,L05,71,2,W3,Returned
P0028,L06,166,5,W3,Repaired
P0028,L07,41,7,W2,Returned
P0028,L08,78,5,W1,Fresh
P0028,L09,107,10,W3,Fresh
P0028,L10,14,7,W3,Repaired
P0029,L01,93,7,W3,Returned
P0029,L02,114,7,W3,Repaired
P0029,L03,48,7,W2,Returned
P0029,L04,27,7,W2,Fresh
P0029,L05,68,7,W3,Repaired
P0029,L06,79,5,W1,Returned
P0029,L07,117,5,W1,Returned
P0029,L08,119,2,W3,Repaired
P0029,L09,63,2,W3,Returned
P0029,L10,13,10,W1,Fresh
P0030,L01,146,2,W3,Fresh
P0030,L02,109,5,W2,Fresh
P0030,L03,56,10,W3,Returned
P0030,L04,83,5,W2,Fresh
P0030,L05,76,5,W2,Fresh
P0030,L06,79,3,W1,Returned
P0030,L07,162,5,W3,Fresh
P0030,L08,83,7,W1,Fresh
P0030,L09,190,7,W1,Fresh
P0030,L10,72,7,W1,Repaired
P0031,L01,93,2,W3,Returned
P0031,L02,103,3,W1,Fresh
P0031,L03,44,10,W1,Fresh
P0031,L04,46,2,W1,Fresh
P0031,L05,105,2,W1,Returned
P0031,L06,176,2,W3,Returned
P0031,L07,64,5,W2,Fresh
P0031,L08,192,3,W2,Fresh
P0031,L09,175,5,W2,Returned
P0031,L10,152,3,W1,Fresh
P0032,L01,153,3,W2,Repaired
P0032,L02,166,7,W1,Repaired
P0032,L03,91,3,W1,Returned
P0032,L04,79,5,W3,Returned
P0032,L05,28,7,W3,Repaired
P0032,L06,151,3,W1,Fresh
P0032,L07,171,2,W1,Returned
P0032,L08,132,5,W3,Returned
P0032,L09,96,10,W3,Fresh
P0032,L10,61,10,W2,Repaired
P0033,L01,163,10,W2,Returned
P0033,L02,80,7,W2,Fresh
P0033,L03,129,3,W1,Repaired
P0033,L04,141,5,W1,Returned
P0033,L05,24,3,W2,Repaired
P0033,L06,13,5,W1,Fresh
P0033,L07,38,5,W3,Fresh
P0033,L08,82,7,W3,Repaired
P0033,L09,180,3,W2,Returned
P0033,L10,88,3,W1,Repaired
P0034,L01,108,5,W3,Fresh
P0034,L02,193,2,W2,Repaired
P0034,L03,174,7,W1,Returned
P0034,L04,149,3,W2,Fresh
P0034,L05,94,5,W1,Returned
P0034,L06,162,3,W3,Returned
P0034,L07,39,5,W1,Repaired
P0034,L08,14,5,W3,Fresh
P0034,L09,152,10,W1,Repaired
P0034,L10,33,2,W2,Repaired
P0035,L01,198,5,W3,Returned
P0035,L02,97,3,W3,Returned
P0035,L03,134,10,W1,Returned
P0035,L04,140,2,W2,Fresh
P0035,L05,97,5,W1,Returned
P0035,L06,75,3,W1,Returned
P0035,L07,166,10,W3,Repaired
P0035,L08,35,2,W2,Fresh
P0035,L09,65,5,W1,Repaired
P0035,L10,27,10,W1,Repaired
P0036,L01,198,3,W2,Returned
P0036,L02,148,2,W2,Returned
P0036,L03,80,10,W2,Fresh
P0036,L04,189,3,W3,Returned
P0036,L05,153,7,W2,Repaired
P0036,L06,39,7,W2,Fresh
P0036,L07,78,2,W2,Fresh
P0036,L08,80,2,W1,Returned
P0036,L09,142,3,W1,Fresh
P0036,L10,147,2,W2,Repaired
P0037,L01,56,7,W3,Returned
P0037,L02,161,7,W1,Fresh
P0037,L03,52,3,W2,Repaired
P0037,L04,178,2,W3,Fresh
P0037,L05,161,5,W3,Returned
P0037,L06,179,7,W3,Returned
P0037,L07,145,10,W2,Fresh
P0037,L08,83,10,W2,Fresh
P0037,L09,191,2,W2,Repaired
P0037,L10,39,5,W3,Returned
P0038,L01,190,7,W1,Returned
P0038,L02,100,2,W1,Fresh
P0038,L03,52,3,W2,Returned
P0038,L04,71,2,W1,Repaired
P0038,L05,175,3,W1,Returned
P0038,L06,24,2,W2,Repaired
P0038,L07,49,10,W2,Repaired
P0038,L08,108,2,W1,Returned
P0038,L09,55,10,W2,Returned
P0038,L10,100,3,W3,Fresh
P0039,L01,197,2,W3,Repaired
P0039,L02,141,10,W2,Fresh
P0039,L03,162,5,W3,Fresh
P0039,L04,74,10,W2,Returned
P0039,L05,46,2,W1,Returned
P0039,L06,21,3,W3,Repaired
P0039,L07,178,3,W1,Returned
P0039,L08,13,2,W1,Returned
P0039,L09,156,7,W1,Fresh
P0039,L10,170,2,W3,Fresh
P0040,L01,56,3,W2,Repaired
P0040,L02,101,10,W3,Returned
P0040,L03,174,2,W3,Fresh
P0040,L04,89,7,W1,Repaired
P0040,L05,66,3,W3,Returned
P0040,L06,60,3,W1,Returned
P0040,L07,72,7,W2,Repaired
P0040,L08,73,3,W2,Returned
P0040,L09,46,5,W3,Repaired
P0040,L10,50,2,W3,Fresh
P0041,L01,52,5,W2,Repaired
P0041,L02,40,5,W3,Repaired
P0041,L03,70,3,W1,Fresh
P0041,L04,119,10,W3,Repaired
P0041,L05,52,10,W3,Repaired
P0041,L06,175,2,W3,Returned
P0041,L07,121,5,W2,Fresh
P0041,L08,136,7,W2,Fresh
P0041,L09,129,2,W2,Fresh
P0041,L10,130,3,W2,Repaired
P0042,L01,98,7,W3,Repaired
P0042,L02,176,2,W1,Repaired
P0042,L03,192,3,W2,Returned
P0042,L04,171,7,W1,Fresh
P0042,L05,38,7,W3,Fresh
P0042,L06,177,5,W2,Fresh
P0042,L07,132,10,W3,Fresh
P0042,L08,36,5,W3,Repaired
P0042,L09,25,5,W3,Returned
P0042,L10,56,2,W3,Repaired
P0043,L01,168,3,W3,Fresh
P0043,L02,166,10,W2,Repaired
P0043,L03,114,3,W1,Returned
P0043,L04,176,3,W3,Returned
P0043,L05,19,7,W1,Returned
P0043,L06,119,2,W1,Repaired
P0043,L07,74,3,W3,Finished Goods
P0043,L08,168,2,W1,Returned
P0043,L09,177,7,W2,Repaired
P0043,L10,80,7,W3,Returned
P0044,L01,155,7,W3,Repaired
P0044,L02,77,10,W3,Fresh
P0044,L03,126,7,W3,Returned
P0044,L04,148,5,W1,Fresh
P0044,L05,68,10,W1,Returned
P0044,L06,153,3,W1,Fresh
P0044,L07,124,7,W1,Repaired
P0044,L08,182,10,W1,Returned
P0044,L09,82,5,W1,Fresh
P0044,L10,184,5,W1,Fresh
P0045,L01,52,10,W3,Returned
P0045,L02,111,7,W3,Repaired
P0045,L03,197,3,W2,Fresh
P0045,L04,130,3,W1,Repaired
P0045,L05,148,3,W1,Returned
P0045,L06,159,5,W1,Fresh
P0045,L07,63,10,W1,Returned
P0045,L08,46,3,W3,Repaired
P0045,L09,120,3,W3,Returned
P0045,L10,117,3,W3,Repaired
P0046,L01,143,5,W3,Repaired
P0046,L02,141,5,W1,Repaired
P0046,L03,39,3,W3,Fresh
P0046,L04,147,3,W1,Fresh
P0046,L05,99,10,W2,Returned
P0046,L06,40,3,W3,Repaired
P0046,L07,90,10,W1,Returned
P0046,L08,121,7,W2,Fresh
P0046,L09,186,2,W2,Repaired
P0046,L10,88,3,W3,Repaired
P0047,L01,171,5,W2,Repaired
P0047,L02,148,10,W1,Returned
P0047,L03,89,7,W1,Fresh
P0047,L04,39,10,W1,Fresh
P0047,L05,42,2,W2,Fresh
P0047,L06,130,7,W2,Fresh
P0047,L07,107,5,W2,Returned
P0047,L08,163,3,W1,Repaired
P0047,L09,190,2,W2,Returned
P0047,L10,97,10,W2,Fresh
P0048,L01,23,5,W2,Returned
P0048,L02,17,10,W2,Fresh
P0048,L03,117,3,W2,Repaired
P0048,L04,121,2,W2,Repaired
P0048,L05,195,3,W2,Fresh
P0048,L06,39,3,W2,Repaired
P0048,L07,169,5,W2,Repaired
P0048,L08,156,10,W2,Repaired
P0048,L09,48,3,W2,Fresh
P0048,L10,21,7,W1,Returned
P0049,L01,22,7,W1,Repaired
P0049,L02,17,7,W1,Fresh
P0049,L03,21,5,W3,Returned
P0049,L04,186,3,W3,Repaired
P0049,L05,187,3,W1,Returned
P0049,L06,73,3,W3,Fresh
P0049,L07,143,2,W1,Fresh
P0049,L08,94,3,W1,Fresh
P0049,L09,107,10,W1,Fresh
P0049,L10,188,7,W2,Repaired
P0050,L01,24,5,W2,Fresh
P0050,L02,75,5,W2,Repaired
P0050,L03,49,3,W3,Fresh
P0050,L04,73,5,W2,Fresh
P0050,L05,184,5,W2,Fresh
P0050,L06,147,7,W3,Fresh
P0050,L07,116,10,W2,Fresh
P0050,L08,162,2,W1,Repaired
P0050,L09,85,2,W3,Fresh
P0050,L10,146,5,W1,Fresh
P0051,L01,40,5,W3,Finished Goods
P0051,L02,154,5,W2,Repaired
P0051,L03,34,2,W3,Repaired
P0051,L04,192,10,W2,Fresh
P0051,L05,83,5,W2,Returned
P0051,L06,11,3,W2,Repaired
P0051,L07,64,3,W2,Fresh
P0051,L08,57,2,W2,Repaired
P0051,L09,44,10,W3,Returned
P0051,L10,179,2,W2,Fresh
P0052,L01,159,5,W2,Returned
P0052,L02,146,2,W2,Returned
P0052,L03,104,7,W3,Returned
P0052,L04,171,7,W3,Returned
P0052,L05,172,7,W3,Repaired
P0052,L06,132,2,W3,Returned
P0052,L07,70,2,W1,Fresh
P0052,L08,11,5,W2,Finished Goods
P0052,L09,146,7,W1,Returned
P0052,L10,187,2,W2,Fresh
P0053,L01,179,7,W3,Repaired
P0053,L02,110,2,W1,Repaired
P0053,L03,144,10,W3,Fresh
P0053,L04,82,5,W1,Repaired
P0053,L05,125,7,W1,Fresh
P0053,L06,69,3,W1,Returned
P0053,L07,160,3,W2,Fresh
P0053,L08,192,5,W3,Finished Goods
P0053,L09,52,7,W2,Fresh
P0053,L10,145,3,W3,Fresh
P0054,L01,95,10,W3,Returned
P0054,L02,148,3,W2,Returned
P0054,L03,145,2,W2,Repaired
P0054,L04,184,10,W1,Returned
P0054,L05,138,10,W2,Returned
P0054,L06,76,2,W1,Returned
P0054,L07,170,7,W3,Returned
P0054,L08,12,3,W2,Repaired
P0054,L09,87,7,W3,Repaired
P0054,L10,105,7,W3,Repaired
P0055,L01,181,5,W3,Returned
P0055,L02,21,3,W3,Repaired
P0055,L03,59,7,W3,Fresh
P0055,L04,78,2,W1,Repaired
P0055,L05,43,2,W1,Returned
P0055,L06,117,10,W3,Fresh
P0055,L07,70,5,W3,Returned
P0055,L08,14,7,W3,Fresh
P0055,L09,17,5,W3,Returned
P0055,L10,87,10,W2,Fresh
P0056,L01,163,2,W1,Returned
P0056,L02,176,7,W3,Repaired
P0056,L03,84,10,W2,Repaired
P0056,L04,22,2,W3,Repaired
P0056,L05,57,7,W1,Fresh
P0056,L06,12,3,W3,Returned
P0056,L07,178,5,W1,Fresh
P0056,L08,196,7,W3,Repaired
P0056,L09,144,5,W1,Fresh
P0056,L10,20,7,W2,Repaired
P0057,L01,144,5,W1,Repaired
P0057,L02,155,3,W2,Repaired
P0057,L03,67,2,W1,Repaired
P0057,L04,136,10,W1,Returned
P0057,L05,11,3,W2,Repaired
P0057,L06,36,2,W1,Returned
P0057,L07,165,3,W3,Fresh
P0057,L08,188,5,W1,Repaired
P0057,L09,123,5,W2,Fresh
P0057,L10,36,3,W1,Returned
P0058,L01,32,7,W2,Returned
P0058,L02,104,2,W2,Fresh
P0058,L03,196,7,W1,Repaired
P0058,L04,162,3,W1,Returned
P0058,L05,155,2,W3,Returned
P0058,L06,94,5,W1,Fresh
P0058,L07,172,5,W1,Returned
P0058,L08,116,5,W3,Returned
P0058,L09,146,2,W3,Returned
P0058,L10,99,3,W3,Returned
P0059,L01,65,7,W3,Returned
P0059,L02,51,3,W1,Returned
P0059,L03,92,10,W2,Repaired
P0059,L04,141,3,W2,Repaired
P0059,L05,164,2,W3,Repaired
P0059,L06,34,3,W2,Fresh
P0059,L07,33,5,W1,Fresh
P0059,L08,134,2,W1,Fresh
P0059,L09,27,2,W2,Returned
P0059,L10,144,7,W2,Repaired
P0060,L01,122,7,W1,Returned
P0060,L02,143,5,W1,Fresh
P0060,L03,125,3,W2,Returned
P0060,L04,53,3,W3,Fresh
P0060,L05,173,5,W2,Fresh
P0060,L06,150,5,W2,Returned
P0060,L07,119,7,W3,Repaired
P0060,L08,25,3,W3,Returned
P0060,L09,90,5,W2,Returned
P0060,L10,97,2,W3,Repaired
P0061,L01,14,3,W2,Fresh
P0061,L02,100,10,W2,Repaired
P0061,L03,42,10,W1,Repaired
P0061,L04,69,7,W1,Fresh
P0061,L05,114,10,W1,Fresh
P0061,L06,171,2,W2,Repaired
P0061,L07,126,7,W3,Repaired
P0061,L08,196,7,W3,Returned
P0061,L09,21,3,W3,Fresh
P0061,L10,177,3,W1,Fresh
P0062,L01,43,3,W1,Fresh
P0062,L02,78,3,W2,Fresh
P0062,L03,21,7,W3,Returned
P0062,L04,149,7,W3,Repaired
P0062,L05,149,7,W1,Fresh
P0062,L06,127,5,W1,Returned
P0062,L07,42,10,W3,Fresh
P0062,L08,74,2,W1,Fresh
P0062,L09,62,7,W1,Returned
P0062,L10,141,7,W1,Repaired
P0063,L01,181,10,W3,Returned
P0063,L02,116,3,W1,Fresh
P0063,L03,40,3,W1,Returned
P0063,L04,186,5,W1,Repaired
P0063,L05,87,5,W3,Returned
P0063,L06,138,2,W2,Repaired
P0063,L07,195,5,W2,Returned
P0063,L08,57,3,W1,Repaired
P0063,L09,189,3,W3,Returned
P0063,L10,32,5,W3,Fresh
P0064,L01,19,3,W3,Returned
P0064,L02,122,10,W3,Repaired
P0064,L03,190,2,W3,Repaired
P0064,L04,37,5,W2,Returned
P0064,L05,192,7,W2,Repaired
P0064,L06,10,5,W2,Repaired
P0064,L07,183,7,W2,Repaired
P0064,L08,110,2,W1,Fresh
P0064,L09,95,7,W2,Repaired
P0064,L10,33,2,W2,Fresh
P0065,L01,78,3,W3,Repaired
P0065,L02,78,5,W3,Repaired
P0065,L03,91,7,W2,Repaired
P0065,L04,18,7,W2,Repaired
P0065,L05,175,2,W2,Fresh
P0065,L06,106,7,W1,Repaired
P0065,L07,132,2,W3,Returned
P0065,L08,79,5,W3,Fresh
P0065,L09,83,10,W3,Repaired
P0065,L10,153,10,W3,Returned
P0066,L01,171,3,W2,Returned
P0066,L02,198,10,W1,Fresh
P0066,L03,185,5,W3,Fresh
P0066,L04,31,2,W2,Fresh
P0066,L05,19,2,W3,Fresh
P0066,L06,196,5,W1,Fresh
P0066,L07,143,3,W1,Returned
P0066,L08,137,10,W1,Fresh
P0066,L09,37,10,W2,Repaired
P0066,L10,92,10,W2,Returned
P0067,L01,95,2,W3,Repaired
P0067,L02,67,2,W3,Repaired
P0067,L03,152,3,W1,Returned
P0067,L04,180,5,W2,Fresh
P0067,L05,160,7,W1,Returned
P0067,L06,22,5,W2,Fresh
P0067,L07,175,5,W1,Returned
P0067,L08,165,5,W2,Fresh
P0067,L09,100,2,W3,Fresh
P0067,L10,188,10,W2,Repaired
P0068,L01,94,10,W3,Fresh
P0068,L02,29,3,W2,Repaired
P0068,L03,116,7,W1,Repaired
P0068,L04,126,3,W2,Fresh
P0068,L05,64,2,W1,Returned
P0068,L06,79,10,W1,Fresh
P0068,L07,185,10,W2,Repaired
P0068,L08,173,10,W3,Returned
P0068,L09,199,2,W1,Repaired
P0068,L10,187,3,W1,Returned
P0069,L01,164,5,W1,Repaired
P0069,L02,119,2,W1,Fresh
P0069,L03,169,2,W1,Fresh
P0069,L04,62,10,W1,Fresh
P0069,L05,54,2,W1,Fresh
P0069,L06,30,2,W1,Fresh
P0069,L07,126,5,W2,Fresh
P0069,L08,77,5,W2,Fresh
P0069,L09,176,5,W1,Fresh
P0069,L10,194,10,W2,Repaired
P0070,L01,73,3,W1,Repaired
P0070,L02,145,3,W1,Repaired
P0070,L03,78,2,W1,Repaired
P0070,L04,166,10,W3,Fresh
P0070,L05,192,3,W1,Repaired
P0070,L06,198,5,W1,Returned
P0070,L07,111,2,W2,Fresh
P0070,L08,140,5,W3,Fresh
P0070,L09,197,2,W1,Repaired
P0070,L10,112,2,W1,Returned
P0071,L01,176,10,W1,Returned
P0071,L02,185,10,W3,Repaired
P0071,L03,167,3,W2,Repaired
P0071,L04,24,7,W1,Fresh
P0071,L05,190,3,W2,Repaired
P0071,L06,14,5,W3,Repaired
P0071,L07,29,3,W3,Fresh
P0071,L08,169,10,W3,Repaired
P0071,L09,157,2,W1,Returned
P0071,L10,96,7,W1,Fresh
P0072,L01,34,3,W3,Fresh
P0072,L02,199,5,W2,Repaired
P0072,L03,38,5,W2,Repaired
P0072,L04,46,7,W2,Repaired
P0072,L05,136,7,W1,Repaired
P0072,L06,92,2,W2,Returned
P0072,L07,121,7,W1,Fresh
P0072,L08,100,5,W2,Fresh
P0072,L09,191,2,W1,Returned
P0072,L10,157,2,W2,Repaired
P0073,L01,24,10,W3,Returned
P0073,L02,161,3,W2,Returned
P0073,L03,55,5,W2,Repaired
P0073,L04,148,2,W2,Returned
P0073,L05,158,5,W1,Fresh
P0073,L06,180,10,W2,Returned
P0073,L07,159,5,W3,Repaired
P0073,L08,179,2,W2,Repaired
P0073,L09,191,2,W1,Returned
P0073,L10,136,5,W3,Returned
P0074,L01,10,3,W2,Repaired
P0074,L02,66,5,W2,Returned
P0074,L03,141,7,W3,Repaired
P0074,L04,52,7,W1,Repaired
P0074,L05,13,3,W2,Repaired
P0074,L06,33,10,W2,Returned
P0074,L07,95,3,W2,Repaired
P0074,L08,61,7,W3,Repaired
P0074,L09,169,5,W2,Repaired
P0074,L10,94,7,W3,Returned
P0075,L01,199,3,W2,Fresh
P0075,L02,81,7,W2,Returned
P0075,L03,163,3,W2,Repaired
P0075,L04,137,2,W3,Repaired
P0075,L05,27,10,W2,Repaired
