Location,Date,Temperature(C),Rainfall(mm)
L08,2024-02-27,29.9,0
L08,2024-02-28,17.9,0
L08,2024-02-29,18.2,0
L09,2024-01-01,13.0,5
L09,2024-01-02,11.7,10
L09,2024-01-03,33.2,0
L09,2024-01-04,29.8,10
L09,2024-01-05,27.0,0
L09,2024-01-06,33.3,10
L09,2024-01-07,19.7,0
L09,2024-01-08,30.8,0
L09,2024-01-09,28.6,0
L09,2024-01-10,11.5,0
L09,2024-01-11,30.4,0
L09,2024-01-12,31.1,0
L09,2024-01-13,12.2,0
L09,2024-01-14,11.9,0
L09,2024-01-15,12.4,0
L09,2024-01-16,22.8,0
L09,2024-01-17,15.5,0
L09,2024-01-18,21.9,0
L09,2024-01-19,25.8,0
L09,2024-01-20,18.0,0
L09,2024-01-21,29.4,0
L09,2024-01-22,34.3,0
L09,2024-01-23,17.9,20
L09,2024-01-24,32.6,20
L09,2024-01-25,10.9,5
L09,2024-01-26,19.7,20
L09,2024-01-27,26.2,0
L09,2024-01-28,27.0,10
L09,2024-01-29,11.3,0
L09,2024-01-30,33.1,10
L09,2024-01-31,11.7,5
L09,2024-02-01,20.6,20
L09,2024-02-02,27.2,5
L09,2024-02-03,14.9,5
L09,2024-02-04,11.8,0
L09,2024-02-05,21.2,0
L09,2024-02-06,10.1,0
L09,2024-02-07,27.5,20
L09,2024-02-08,32.9,0
L09,2024-02-09,11.6,0
L09,2024-02-10,31.7,5
L09,2024-02-11,18.0,20
L09,2024-02-12,23.2,0
L09,2024-02-13,29.3,0
L09,2024-02-14,23.3,0
L09,2024-02-15,13.3,10
L09,2024-02-16,14.9,0
L09,2024-02-17,16.4,20
L09,2024-02-18,20.7,0
L09,2024-02-19,20.7,0
L09,2024-02-20,22.6,20
L09,2024-02-21,16.6,0
L09,2024-02-22,33.1,0
L09,2024-02-23,19.0,0
L09,2024-02-24,30.4,0
L09,2024-02-25,22.6,5
L09,2024-02-26,21.7,10
L09,2024-02-27,32.1,0
L09,2024-02-28,13.1,10
L09,2024-02-29,18.5,0
L10,2024-01-01,32.2,5
L10,2024-01-02,30.7,10
L10,2024-01-03,15.9,0
L10,2024-01-04,29.8,0
L10,2024-01-05,16.0,0
L10,2024-01-06,20.9,0
L10,2024-01-07,28.4,0
L10,2024-01-08,27.1,0
L10,2024-01-09,14.4,0
L10,2024-01-10,28.6,5
L10,2024-01-11,22.2,0
L10,2024-01-12,33.1,10
L10,2024-01-13,22.8,0
L10,2024-01-14,25.2,0
L10,2024-01-15,14.6,0
L10,2024-01-16,32.8,0
L10,2024-01-17,34.8,10
L10,2024-01-18,21.0,20
L10,2024-01-19,25.0,0
L10,2024-01-20,20.5,0
L10,2024-01-21,26.3,0
L10,2024-01-22,10.1,0
L10,2024-01-23,30.3,0
L10,2024-01-24,32.3,0
L10,2024-01-25,32.9,0
L10,2024-01-26,28.6,0
L10,2024-01-27,19.0,5
L10,2024-01-28,24.0,0
L10,2024-01-29,14.6,20
L10,2024-01-30,12.1,10
L10,2024-01-31,17.1,0
L10,2024-02-01,15.3,0
L10,2024-02-02,27.9,10
L10,2024-02-03,17.7,20
L10,2024-02-04,31.1,20
L10,2024-02-05,29.4,0
L10,2024-02-06,32.8,5
L10,2024-02-07,11.2,0
L10,2024-02-08,24.2,0
L10,2024-02-09,12.2,0
L10,2024-02-10,19.8,0
L10,2024-02-11,10.4,0
L10,2024-02-12,20.2,5
L10,2024-02-13,32.8,0
L10,2024-02-14,23.9,0
L10,2024-02-15,12.3,0
L10,2024-02-16,11.3,20
L10,2024-02-17,26.3,10
L10,2024-02-18,26.3,10
L10,2024-02-19,20.0,10
L10,2024-02-20,29.5,0
L10,2024-02-21,26.6,0
L10,2024-02-22,15.8,0
L10,2024-02-23,24.2,0
L10,2024-02-24,34.9,0
L10,2024-02-25,30.7,10
L10,2024-02-26,34.2,20
L10,2024-02-27,28.4,0
L10,2024-02-28,24.9,0
L10,2024-02-29,30.7,0
